Countries or Regions,Currency Code,Price
Afghanistan,USD,19.99
Albania,USD,99.99
Algeria,USD,29.99
Angola,USD,39.99
Anguilla,USD,69.99
Antigua and Barbuda,USD,59.99
Argentina,USD,39.99
Armenia,USD,88.99
Australia,AUD,119.99
Austria,EUR,59.99
Azerbaijan,USD,39.99
Bahamas,USD,59.99
Bahrain,USD,39.99
Barbados,USD,88.99
Belarus,USD,88.99
Belgium,EUR,59.99
Belize,USD,49.99
Benin,USD,29.99
Bermuda,USD,88.99
Bhutan,USD,6.99
Bolivia,USD,29.99
Bosnia and Herzegovina,EUR,29.99
Botswana,USD,34.99
Brazil,BRL,199.9
British Virgin Islands,USD,69.99
Brunei,USD,49.99
Bulgaria,BGN,69.99
Burkina Faso,USD,29.99
Cambodia,USD,29.99
Cameroon,USD,88.99
Canada,CAD,99.99
Cape Verde,USD,34.99
Cayman Islands,USD,79.99
Chad,USD,39.99
Chile,CLP,39990
China mainland,CNY,298
Colombia,COP,409900
"Congo, Democratic Republic of the",USD,29.99
"Congo, Republic of the",USD,49.99
Costa Rica,USD,39.99
Côte d’Ivoire,USD,29.99
Croatia,EUR,5.99
Cyprus,EUR,49.99
Czech Republic,CZK,990
Denmark,DKK,499
Dominica,USD,49.99
Dominican Republic,USD,39.99
Ecuador,USD,39.99
Egypt,EGP,399.99
El Salvador,USD,39.99
Estonia,EUR,49.99
Eswatini,USD,29.99
Fiji,USD,29.99
Finland,EUR,69.99
France,EUR,59.99
Gabon,USD,39.99
Gambia,USD,29.99
Georgia,USD,88.99
Germany,EUR,59.99
Ghana,USD,88.99
Greece,EUR,44.99
Grenada,USD,44.99
Guatemala,USD,39.99
Guinea-Bissau,USD,29.99
Guyana,USD,34.99
Honduras,USD,39.99
Hong Kong,HKD,488
Hungary,HUF,14990
Iceland,USD,99.99
India,INR,499
Indonesia,IDR,399000
Iraq,USD,49.99
Ireland,EUR,59.99
Israel,ILS,284.9
Italy,EUR,49.99
Jamaica,USD,39.99
Japan,JPY,8000
Jordan,USD,29.99
Kazakhstan,KZT,12990
Kenya,USD,88.99
"Korea, Republic of",KRW,70000
Kosovo,EUR,29.99
Kuwait,USD,59.99
Kyrgyzstan,USD,19.99
Laos,USD,19.99
Latvia,EUR,39.99
Lebanon,USD,79.99
Liberia,USD,79.99
Libya,USD,29.99
Lithuania,EUR,39.99
Luxembourg,EUR,69.99
Macau,USD,49.99
Madagascar,USD,29.99
Malawi,USD,17.99
Malaysia,MYR,399.9
Maldives,USD,6.99
Mali,USD,29.99
Malta,EUR,49.99
Mauritania,USD,24.99
Mauritius,USD,29.99
Mexico,MXN,799
Micronesia,USD,79.99
Moldova,USD,88.99
Mongolia,USD,29.99
Montenegro,EUR,29.99
Montserrat,USD,49.99
Morocco,USD,29.99
Mozambique,USD,29.99
Myanmar,USD,17.99
Namibia,USD,39.99
Nauru,USD,69.99
Nepal,USD,6.99
Netherlands,EUR,59.99
New Zealand,NZD,119.99
Nicaragua,USD,29.99
Niger,USD,29.99
Nigeria,NGN,12900
North Macedonia,USD,29.99
Norway,NOK,949
Oman,USD,49.99
Pakistan,PKR,1100
Palau,USD,49.99
Panama,USD,39.99
Papua New Guinea,USD,59.99
Paraguay,USD,29.99
Peru,PEN,149.9
Philippines,PHP,1490
Poland,PLN,149.99
Portugal,EUR,49.99
Qatar,QAR,199.99
Romania,RON,149.99
Russia,RUB,2990
Rwanda,USD,29.99
São Tomé and Príncipe,USD,49.99
Saudi Arabia,SAR,149.99
Senegal,USD,29.99
Serbia,EUR,29.99
Seychelles,USD,39.99
Sierra Leone,USD,19.99
Singapore,SGD,69.98
Slovakia,EUR,49.99
Slovenia,EUR,49.99
Solomon Islands,USD,69.99
South Africa,ZAR,599.99
Spain,EUR,49.99
Sri Lanka,USD,6.99
St. Kitts and Nevis,USD,49.99
St. Lucia,USD,59.99
St. Vincent and the Grenadines,USD,49.99
Suriname,USD,29.99
Sweden,SEK,699
Switzerland,CHF,80
Taiwan,TWD,1290
Tajikistan,USD,19.99
Tanzania,TZS,79900
Thailand,THB,990
Tonga,USD,29.99
Trinidad and Tobago,USD,59.99
Tunisia,USD,29.99
Türkiye,TRY,399.99
Turkmenistan,USD,39.99
Turks and Caicos Islands,USD,79.99
Uganda,USD,29.99
Ukraine,USD,29.99
United Arab Emirates,AED,199.99
United Kingdom,GBP,59.99
United States,USD,79.99
Uruguay,USD,59.99
Uzbekistan,USD,19.99
Vanuatu,USD,79.99
Venezuela,USD,39.99
Vietnam,VND,599000
Yemen,USD,79.99
Zambia,USD,29.99
Zimbabwe,USD,59.99