Country,Price
AE,229990000
AT,64990000
AU,99990000
BD,999000000
BE,64990000
BG,129990000
BH,64990000
BO,414990000
BR,294990000
CA,80990000
CH,50000000
CL,63000000000
CO,240000000000
CR,31800000000
CY,64990000
CZ,1599990000
DE,64990000
DK,519000000
DZ,8075000000
EC,59990000
EE,64990000
EG,2099990000
ES,64990000
FI,69990000
FR,64990000
GB,56990000
GH,880000000
GR,69990000
HK,469000000
HR,69990000
HU,26999000000
ID,890000000000
IE,69990000
IL,225000000
IN,799000000
IT,69990000
JO,42550000
JP,8800000000
KE,11000000000
KH,59990000
KR,85000000000
KW,59990000
KZ,30990000000
LI,55000000
LK,3399000000
LT,64990000
LU,64990000
LV,64990000
MA,729990000
MX,1199000000
MY,294990000
NG,54000000000
NL,64990000
NO,819000000
NZ,109990000
OM,64990000
PA,59990000
PE,224990000
PH,3300000000
PK,1799000000
PL,294990000
PT,69990000
PY,450000000000
QA,220000000
RO,329990000
RS,7999000000
RU,5499000000
SA,259990000
SE,789000000
SG,86980000
SI,69990000
SK,64990000
SV,59990000
TH,2250000000
TR,2079990000
TW,1980000000
TZ,150000000000
UA,2649990000
US,59990000
VN,1450000000000
ZA,1299990000